#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
YO|CHPH||BHZ|35.259899|-75.548302|3.0|0.0|0.0|-90.0|Nanometrics trillium_compact (standard and post-ho|4.71409E8|0.2|M/S|50.0|2014-05-13T00:00:00.0000|2015-06-30T23:59:59.0000
YO|D01||HH1|33.539001|-74.849503|-3808.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.30816E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-05T23:59:59.0000
YO|D01||HH2|33.539001|-74.849503|-3808.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-05T23:59:59.0000
YO|D01||HHZ|33.539001|-74.849503|-3808.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.26622E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-05T23:59:59.0000
YO|D02B||HH1|33.990501|-74.712898|-3760.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.28299E8|0.3|M/S|100.0|2014-04-09T00:00:00.0000|2015-04-05T23:59:59.0000
YO|D02B||HH2|33.990501|-74.712898|-3760.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.43399E8|0.3|M/S|100.0|2014-04-09T00:00:00.0000|2015-04-05T23:59:59.0000
YO|D02B||HHZ|33.990501|-74.712898|-3760.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.26622E8|0.3|M/S|100.0|2014-04-09T00:00:00.0000|2015-04-05T23:59:59.0000
YO|D03||HH1|34.3559|-74.488701|-3584.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.26622E8|0.3|M/S|100.0|2014-04-07T00:00:00.0000|2015-04-05T23:59:59.0000
YO|D03||HH2|34.3559|-74.488701|-3584.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-07T00:00:00.0000|2015-04-05T23:59:59.0000
YO|D03||HHZ|34.3559|-74.488701|-3584.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.24944E8|0.3|M/S|100.0|2014-04-07T00:00:00.0000|2015-04-05T23:59:59.0000
YO|D04||HH1|34.689999|-74.257896|-3417.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.25783E8|0.3|M/S|100.0|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|D04||HH2|34.689999|-74.257896|-3417.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|D04||HHZ|34.689999|-74.257896|-3417.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.19911E8|0.3|M/S|100.0|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|D05B||HH1|35.013802|-74.0327|-3335.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-05T00:00:00.0000|2015-03-31T23:59:59.0000
YO|D05B||HH2|35.013802|-74.0327|-3335.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.32494E8|0.3|M/S|100.0|2014-04-05T00:00:00.0000|2015-03-31T23:59:59.0000
YO|D05B||HHZ|35.013802|-74.0327|-3335.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.26622E8|0.3|M/S|100.0|2014-04-05T00:00:00.0000|2015-03-31T23:59:59.0000
YO|ECHS||BHE|34.7817|-76.630501|1.0|0.0|90.0|0.0|Nanometrics trillium_compact (standard and post-ho|4.71409E8|0.2|M/S|50.0|2014-05-14T00:00:00.0000|2015-06-30T23:59:59.0000
YO|ECHS||BHN|34.7817|-76.630501|1.0|0.0|0.0|0.0|Nanometrics trillium_compact (standard and post-ho|4.71409E8|0.2|M/S|50.0|2014-05-14T00:00:00.0000|2015-06-30T23:59:59.0000
YO|ECHS||BHZ|34.7817|-76.630501|1.0|0.0|0.0|-90.0|Nanometrics trillium_compact (standard and post-ho|4.71409E8|0.2|M/S|50.0|2014-05-14T00:00:00.0000|2015-06-30T23:59:59.0000
YO|FFMS||BHE|36.003101|-75.667999|3.0|0.0|90.0|0.0|Nanometrics trillium_compact (standard and post-ho|4.71409E8|0.2|M/S|50.0|2014-05-13T00:00:00.0000|2015-06-30T23:59:59.0000
YO|FFMS||BHN|36.003101|-75.667999|3.0|0.0|0.0|0.0|Nanometrics trillium_compact (standard and post-ho|4.71409E8|0.2|M/S|50.0|2014-05-13T00:00:00.0000|2015-06-30T23:59:59.0000
YO|FFMS||BHZ|36.003101|-75.667999|3.0|0.0|0.0|-90.0|Nanometrics trillium_compact (standard and post-ho|4.71409E8|0.2|M/S|50.0|2014-05-13T00:00:00.0000|2015-06-30T23:59:59.0000
YO|X01||HH1|36.225201|-74.5793|-1329.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.23266E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|X01||HH2|36.225201|-74.5793|-1329.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.26622E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|X01||HHZ|36.225201|-74.5793|-1329.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.24105E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|X02||HH1|36.452599|-74.079002|-2548.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.30816E8|0.3|M/S|100.0|2014-04-02T00:00:00.0000|2015-03-30T23:59:59.0000
YO|X02||HH2|36.452599|-74.079002|-2548.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.27461E8|0.3|M/S|100.0|2014-04-02T00:00:00.0000|2015-03-30T23:59:59.0000
YO|X02||HHZ|36.452599|-74.079002|-2548.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29977E8|0.3|M/S|100.0|2014-04-02T00:00:00.0000|2015-03-30T23:59:59.0000
YO|X09||HH1|32.516899|-74.3536|-4726.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29977E8|0.3|M/S|100.0|2014-04-10T00:00:00.0000|2015-04-03T23:59:59.0000
YO|X09||HH2|32.516899|-74.3536|-4726.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.28299E8|0.3|M/S|100.0|2014-04-10T00:00:00.0000|2015-04-03T23:59:59.0000
YO|X09||HHZ|32.516899|-74.3536|-4726.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.28299E8|0.3|M/S|100.0|2014-04-10T00:00:00.0000|2015-04-03T23:59:59.0000
YO|X10||HH1|33.047501|-76.059898|-2243.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.25783E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-03T23:59:59.0000
YO|X10||HH2|33.047501|-76.059898|-2243.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.24944E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-03T23:59:59.0000
YO|X10||HHZ|33.047501|-76.059898|-2243.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.19911E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-03T23:59:59.0000
YQ|KAMC||HH1|37.15325|-86.06479|192.0|73.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-11-06T18:57:24.0000|2020-12-09T15:49:17.0000
YQ|KAMC||HH2|37.15325|-86.06479|192.0|73.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-11-06T18:57:24.0000|2020-12-09T15:49:17.0000
YQ|KAMC||HHZ|37.15325|-86.06479|192.0|73.0|0.0|-90.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-11-06T18:57:24.0000|2020-12-09T15:49:17.0000
YQ|MAMC||HH1|37.16924|-86.07882|165.4|78.6|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-09-02T17:17:01.0000|2021-03-24T14:49:47.0000
YQ|MAMC||HH2|37.16924|-86.07882|165.4|78.6|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-09-02T17:17:01.0000|2021-03-24T14:49:47.0000
YQ|MAMC||HHZ|37.16924|-86.07882|165.4|78.6|0.0|-90.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-09-02T17:17:01.0000|2021-03-24T14:49:47.0000
YQ|MLMC||HH1|37.16684|-86.08052|164.9|88.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-09-02T20:24:25.0000|2020-11-06T00:16:00.0000
YQ|MLMC||HH1|37.16684|-86.08052|164.9|88.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-11-06T00:17:00.0000|2021-03-24T14:10:39.0000
