#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
Y3|DVB3|39.2234|-75.638901|15.0|DVB3|2017-12-01T00:00:00.0000|2018-01-11T23:59:59.0000
Y3|DVB4|39.318298|-75.734299|27.0|DVB4|2017-12-01T00:00:00.0000|2018-01-11T23:59:59.0000
Y3|FBG|39.239601|-75.171303|8.0|FBG|2017-12-01T00:00:00.0000|2018-01-11T23:59:59.0000
YC|IP01|37.957001|-77.911301|110.0|Cuckoo, Virginia, USA|2011-08-25T00:00:00.0000|2012-07-25T23:59:59.0000
YC|IP02|37.8992|-77.8414|119.0|Jouett School, Gardners Crossing, VA, USA|2011-08-25T00:00:00.0000|2012-07-24T23:59:59.0000
YC|IP03|38.020599|-78.014702|140.0|Louisa, Virgina, USA|2011-08-26T00:00:00.0000|2012-07-25T23:59:59.0000
YC|IP04|38.092201|-78.0942|166.0|Green Springs, VA, USA|2011-08-26T00:00:00.0000|2012-07-24T23:59:59.0000
YC|IP05|37.830299|-77.755699|108.0|Hopewell Church, VA, USA|2011-08-28T00:00:00.0000|2012-07-24T23:59:59.0000
YC|IP06|37.933399|-77.981499|114.0|Yanceyville Church, VA, USA|2011-08-28T00:00:00.0000|2012-07-25T23:59:59.0000
YC|IP07|37.918598|-78.029701|138.0|Quail, Virginia, USA|2011-08-28T00:00:00.0000|2012-07-25T23:59:59.0000
YO|A01|33.9366|-75.726601|-1755.0|WHOI_OBS_ID S38|2014-04-11T00:00:00.0000|2015-04-03T23:59:59.0000
YO|A02|34.357498|-75.448799|-2779.0|WHOI_OBS_ID S46|2014-04-08T00:00:00.0000|2015-04-05T23:59:59.0000
YO|A03|34.691101|-75.210899|-2638.0|WHOI_OBS_ID S65|2014-04-08T00:00:00.0000|2015-04-05T23:59:59.0000
YO|A04|35.034901|-75.000397|-2293.0|WHOI_OBS_ID S68|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|A05B|35.3358|-74.664497|-2231.0|WHOI_OBS_ID S42|2014-04-05T00:00:00.0000|2015-04-01T23:59:59.0000
YO|A06B|35.804501|-74.648804|-1325.0|WHOI_OBS_ID S27|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|B01|33.792801|-75.408096|-3124.0|WHOI_OBS_ID S53|2014-04-11T00:00:00.0000|2015-04-04T23:59:59.0000
